date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2024-01-02,AAPL,-2.37885,-2.37885,36.191978,1.037928
2024-01-02,AMD,-2.394682,-2.394682,37.27648,0.899789
2024-01-02,NVDA,-1.094463,-1.094463,32.40231,0.81788
2024-01-02,TSLA,-0.949775,-0.949775,33.341557,0.732022
2024-01-03,AAPL,-0.554837,-0.554837,51.067023,0.759394
2024-01-03,AMD,-1.594747,-1.594747,66.188193,0.881856
2024-01-03,NVDA,-1.324531,-1.324531,54.96181,0.613304
2024-01-03,TSLA,-1.328395,-1.328395,45.529163,0.871179
2024-01-04,AAPL,-1.090909,-1.090909,34.956954,0.892009
2024-01-04,AMD,-0.864617,-0.864617,59.391111,0.825343
2024-01-04,NVDA,0.275389,0.275389,59.745454,0.592224
2024-01-04,TSLA,0.293563,0.293563,60.163548,0.735743
2024-01-05,AAPL,-0.681656,-0.681656,31.66546,0.797399
2024-01-05,AMD,-0.257334,-0.257334,37.865582,0.96414
2024-01-05,NVDA,0.150006,0.150006,38.961552,0.812564
2024-01-05,TSLA,-0.508553,-0.508553,31.267457,0.684591
2024-01-08,AAPL,0.253891,0.253891,63.095214,0.655213
2024-01-08,AMD,1.558666,1.558666,34.695762,0.968603
2024-01-08,NVDA,0.798419,0.798419,35.484385,1.274738
2024-01-08,TSLA,0.0,0.0,51.818137,0.623027
2024-01-09,AAPL,-0.668247,-0.668247,58.016106,0.492559
2024-01-09,AMD,0.417294,0.417294,67.372721,0.918126
2024-01-09,NVDA,0.874591,0.874591,50.631941,1.592009
2024-01-09,TSLA,-0.598877,-0.598877,56.472181,0.723855
2024-01-10,AAPL,-0.324079,-0.324079,70.902986,0.522604
2024-01-10,AMD,0.589575,0.589575,54.823771,0.757042
2024-01-10,NVDA,0.940911,0.940911,57.175002,1.077846
2024-01-10,TSLA,0.285155,0.285155,58.777114,0.664586
2024-01-11,AAPL,0.408185,0.408185,49.580503,0.603136
2024-01-11,AMD,0.76747,0.76747,60.127867,0.852899
2024-01-11,NVDA,1.333947,1.333947,53.73285,1.222403
2024-01-11,TSLA,0.282124,0.282124,64.849234,0.773607
2024-01-12,AAPL,-0.247858,-0.247858,39.02752,0.432509
2024-01-12,AMD,-0.999865,-0.999865,48.160195,0.637908
2024-01-12,NVDA,-0.860968,-0.860968,44.434993,0.70065
2024-01-12,TSLA,-3.027902,-3.027902,49.812507,0.934918
2024-01-16,AAPL,-1.640491,-1.640491,69.37171,0.837978
2024-01-16,AMD,1.698963,1.698963,65.96815,1.485529
2024-01-16,NVDA,0.383842,0.383842,58.504241,0.894094
2024-01-16,TSLA,-1.548723,-1.548723,62.613742,0.893917
2024-01-17,AAPL,-0.985678,-0.985678,41.583349,0.616095
2024-01-17,AMD,1.014237,1.014237,52.973625,1.301166
2024-01-17,NVDA,0.475329,0.475329,47.155769,0.961003
2024-01-17,TSLA,-1.832568,-1.832568,61.446654,0.782833
2024-01-18,AAPL,2.030874,2.030874,53.565465,1.002142
2024-01-18,AMD,3.639883,3.639883,49.224806,1.656333
2024-01-18,NVDA,2.447683,2.447683,40.177906,0.962641
2024-01-18,TSLA,1.238692,1.238692,49.969409,0.816794
2024-01-19,AAPL,0.620262,0.620262,55.436479,0.832403
2024-01-19,AMD,1.758161,1.758161,66.288895,1.50013
2024-01-19,NVDA,1.575989,1.575989,54.407064,1.006121
2024-01-19,TSLA,-0.896734,-0.896734,57.206997,0.754518
2024-01-22,AAPL,0.454166,0.454166,43.750332,0.753893
2024-01-22,AMD,0.820754,0.820754,57.813673,1.424051
2024-01-22,NVDA,1.060665,1.060665,42.375091,0.887902
2024-01-22,TSLA,0.622084,0.622084,41.125324,0.905132
2024-01-23,AAPL,0.365413,0.365413,55.650576,0.507945
2024-01-23,AMD,0.0,0.0,61.566367,0.849312
2024-01-23,NVDA,0.326885,0.326885,66.631408,0.545465
2024-01-23,TSLA,0.627443,0.627443,60.714544,0.825495
2024-01-24,AAPL,0.112716,0.112716,43.902797,0.637329
2024-01-24,AMD,2.422515,2.422515,43.653778,1.405438
2024-01-24,NVDA,0.947004,0.947004,38.151447,1.08708
2024-01-24,TSLA,1.683083,1.683083,39.715423,0.778279
2024-01-25,AAPL,-0.251928,-0.251928,51.621976,0.663838
2024-01-25,AMD,1.59291,1.59291,67.519971,1.430764
2024-01-25,NVDA,1.479743,1.479743,68.870473,0.922917
2024-01-25,TSLA,-8.829332,-8.829332,72.609695,1.514903
2024-01-26,AAPL,0.231756,0.231756,65.828443,0.474951
2024-01-26,AMD,-1.624854,-1.624854,64.175624,1.175363
2024-01-26,NVDA,-0.598861,-0.598861,50.904688,0.756912
2024-01-26,TSLA,1.516728,1.516728,61.595243,0.788958
2024-01-29,AAPL,-0.114333,-0.114333,57.602924,0.517352
2024-01-29,AMD,1.365303,1.365303,64.669489,0.936798
2024-01-29,NVDA,0.683259,0.683259,69.170225,0.553489
2024-01-29,TSLA,1.025921,1.025921,66.229686,0.888452
2024-01-30,AAPL,-0.584155,-0.584155,61.667265,0.715582
2024-01-30,AMD,-0.382388,-0.382388,67.611292,1.134836
2024-01-30,NVDA,0.936524,0.936524,58.899999,0.771724
2024-01-30,TSLA,2.49306,2.49306,55.946271,0.816447
2024-01-31,AAPL,-0.191449,-0.191449,39.886039,0.580435
2024-01-31,AMD,-4.597234,-4.597234,49.255798,1.358228
2024-01-31,NVDA,-1.870201,-1.870201,49.198411,0.822653
2024-01-31,TSLA,-2.761104,-2.761104,41.228016,0.687881
