date,ticker,gap_pct,change_open_pct,rsi14m,rvol
2023-10-02,AAPL,0.005841,0.005841,67.731517,0.657206
2023-10-02,AMD,-0.59327,-0.59327,75.885316,0.818377
2023-10-02,NVDA,1.220718,1.220718,73.921153,0.949968
2023-10-02,TSLA,-2.162097,-2.162097,66.801272,0.95319
2023-10-03,AAPL,-0.860432,-0.860432,63.175265,0.654726
2023-10-03,AMD,-1.427036,-1.427036,74.802787,0.869877
2023-10-03,NVDA,0.058059,0.058059,59.935274,1.039548
2023-10-03,TSLA,-1.188394,-1.188394,66.56662,0.800172
2023-10-04,AAPL,-0.759861,-0.759861,35.472667,0.697878
2023-10-04,AMD,0.569544,0.569544,52.2081,0.920719
2023-10-04,NVDA,0.517039,0.517039,51.558112,0.772489
2023-10-04,TSLA,0.653065,0.653065,50.236277,1.025829
2023-10-05,AAPL,0.074859,0.074859,43.151433,0.656067
2023-10-05,AMD,-0.638993,-0.638993,35.109663,0.946428
2023-10-05,NVDA,0.020436,0.020436,43.738676,0.859029
2023-10-05,TSLA,-0.444172,-0.444172,28.494344,0.946273
2023-10-06,AAPL,-0.634612,-0.634612,32.998655,0.753003
2023-10-06,AMD,-0.728792,-0.728792,40.545955,1.183808
2023-10-06,NVDA,-1.10768,-1.10768,49.815451,0.917899
2023-10-06,TSLA,-2.334167,-2.334167,38.443787,0.91895
2023-10-09,AAPL,-0.38312,-0.38312,49.838001,0.583543
2023-10-09,AMD,-1.14696,-1.14696,44.649373,0.727564
2023-10-09,NVDA,-2.010402,-2.010402,35.166069,0.885242
2023-10-09,TSLA,-2.003608,-2.003608,37.240659,0.810542
2023-10-10,AAPL,-0.497234,-0.497234,47.247336,0.604986
2023-10-10,AMD,0.486118,0.486118,48.483515,1.048585
2023-10-10,NVDA,0.081726,0.081726,31.254329,0.798804
2023-10-10,TSLA,-0.7394,-0.7394,40.198428,0.991229
2023-10-11,AAPL,-0.106508,-0.106508,74.620923,0.640018
2023-10-11,AMD,0.119255,0.119255,65.276859,0.942218
2023-10-11,NVDA,0.869034,0.869034,70.677045,0.834852
2023-10-11,TSLA,0.978681,0.978681,34.524441,0.824179
2023-10-12,AAPL,0.150167,0.150167,57.953022,0.815895
2023-10-12,AMD,0.083095,0.083095,46.893049,1.129318
2023-10-12,NVDA,-0.061958,-0.061958,47.714402,1.085077
2023-10-12,TSLA,-0.026617,-0.026617,48.191326,0.901842
2023-10-13,AAPL,0.392895,0.392895,47.915148,0.717361
2023-10-13,AMD,-0.128688,-0.128688,44.720782,0.957948
