Date,Ticker,GapPctPoly,RSI14m,RelVolPoly
2024-08-01,AAPL,1.03116,37.412365,0.995103
2024-08-01,AMD,0.359911,31.754444,1.664971
2024-08-01,NVDA,0.435823,73.218881,1.580388
2024-08-01,TSLA,-1.887362,56.313784,0.71089
2024-08-02,AAPL,0.361788,74.262537,1.663673
2024-08-02,AMD,0.72431,64.069399,1.392756
2024-08-02,NVDA,-4.990385,66.172114,1.460545
2024-08-02,TSLA,-0.913031,46.66179,0.697251
2024-08-05,AAPL,-9.446921,78.837072,2.018514
2024-08-05,AMD,-7.803774,73.336331,1.337261
2024-08-05,NVDA,-14.179174,69.489641,1.692662
2024-08-05,TSLA,-10.81042,85.693174,0.835144
2024-08-06,AAPL,-1.897071,17.100517,1.183552
2024-08-06,AMD,0.244771,17.198486,1.120653
2024-08-06,NVDA,3.374813,31.396148,1.260919
2024-08-06,TSLA,0.940265,20.519096,0.612301
2024-08-07,AAPL,-0.159243,79.976171,1.075021
2024-08-07,AMD,2.742357,58.454106,0.94314
2024-08-07,NVDA,3.414868,49.423876,1.270278
2024-08-07,TSLA,0.064793,43.556701,0.589305
2024-08-08,AAPL,1.568011,19.172334,0.806879
2024-08-08,AMD,2.5647,24.732641,0.840043
2024-08-08,NVDA,3.124052,24.341617,1.206387
2024-08-08,TSLA,2.054652,30.368956,0.543177
2024-08-09,AAPL,-0.56725,50.149227,0.725158
2024-08-09,AMD,-1.195716,43.809269,0.692616
2024-08-09,NVDA,0.638278,49.900279,0.891782
2024-08-09,TSLA,-0.900221,66.843446,0.491774
2024-08-12,AAPL,-0.078616,52.448265,0.67054
2024-08-12,AMD,0.126611,34.775748,0.684378
2024-08-12,NVDA,1.498807,40.653685,0.997203
2024-08-12,TSLA,-0.49,33.440885,0.541779
2024-08-13,AAPL,0.680366,60.966943,0.786087
2024-08-13,AMD,0.987059,65.564348,0.730789
2024-08-13,NVDA,3.137039,44.636493,0.954942
2024-08-13,TSLA,0.496228,85.542028,0.656
2024-08-14,AAPL,-0.316356,62.476008,0.754214
2024-08-14,AMD,1.325019,18.492373,0.622635
2024-08-14,NVDA,2.057861,14.763374,1.023592
2024-08-14,TSLA,-0.211711,12.303423,0.628706
2024-08-15,AAPL,1.298936,37.058515,0.829765
2024-08-15,AMD,1.598579,71.183058,0.756909
2024-08-15,NVDA,0.575881,64.486392,0.94997
2024-08-15,TSLA,1.807528,75.808432,0.822936
2024-08-16,AAPL,-0.355999,60.92194,0.800357
2024-08-16,AMD,-1.126493,60.786456,0.55033
2024-08-16,NVDA,-0.74882,67.208894,0.895804
2024-08-16,TSLA,-1.396283,78.882219,0.829664
2024-08-19,AAPL,-0.145985,44.90566,0.74265
2024-08-19,AMD,-0.087507,82.726596,1.074129
2024-08-19,NVDA,-0.240809,70.059571,0.934971
2024-08-19,TSLA,0.439571,40.647544,0.732865
2024-08-20,AAPL,-0.053123,58.823529,0.559109
2024-08-20,AMD,0.779238,61.004694,1.332237
2024-08-20,NVDA,-1.230769,54.500116,0.880254
2024-08-20,TSLA,0.969828,54.461889,0.729758
2024-08-21,AAPL,0.004415,54.398944,0.652715
2024-08-21,AMD,-0.179028,58.816446,0.762714
2024-08-21,NVDA,0.051081,65.761672,0.755798
2024-08-21,TSLA,0.710086,43.972179,0.705273
2024-08-22,AAPL,0.613958,31.230481,0.831304
2024-08-22,AMD,0.671694,42.364334,0.821812
2024-08-22,NVDA,1.182879,30.359842,1.102374
2024-08-22,TSLA,0.246339,35.924412,0.839473
2024-08-23,AAPL,0.502784,74.407033,0.742602
2024-08-23,AMD,1.252472,56.160711,0.788479
2024-08-23,NVDA,1.71327,69.682934,0.940702
2024-08-23,TSLA,1.801481,64.398075,0.883853
2024-08-26,AAPL,-0.035267,55.509925,0.599858
2024-08-26,AMD,-0.180668,65.970611,0.896188
2024-08-26,NVDA,0.154595,63.435374,0.954671
2024-08-26,TSLA,-0.7126,35.948534,0.663933
2024-08-27,AAPL,-0.521613,44.607843,0.707757
2024-08-27,AMD,0.09334,42.025745,0.632612
2024-08-27,NVDA,-1.114977,43.565493,0.864439
2024-08-27,TSLA,0.018761,22.24405,0.72042
2024-08-28,AAPL,-0.048239,56.007437,0.75908
2024-08-28,AMD,-0.730897,38.465354,0.630344
2024-08-28,NVDA,-0.140296,46.615905,1.270827
2024-08-28,TSLA,0.243774,36.150984,0.750027
2024-08-29,AAPL,1.593889,67.265193,1.045267
2024-08-29,AMD,0.157147,57.070903,0.598542
2024-08-29,NVDA,-3.387469,61.493242,1.268947
2024-08-29,TSLA,1.968408,63.942555,0.74295
2024-08-30,AAPL,0.174072,50.847458,1.064363
2024-08-30,AMD,1.395285,35.349691,0.596495
2024-08-30,NVDA,1.6498,59.872452,0.924797
2024-08-30,TSLA,1.139228,43.327019,0.762898
